FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0,0.006487,0.73292,0.027911,-0.17135,0.48185,0.02971,-0.37598,0.58445,0.053098,0.17909,0.48322,0.025053,0.36738,0.64009,0.058198,-0.41236,0.78634,0.000709,0.39309,0.84758,0.039967,-0.068883,-0.001665,-0.032751,0.075423,-0.005295,-0.035515,-0.11834,-0.38683,-0.040879,0.1179,-0.43823,-0.012396,-0.11745,-0.76619,-0.027526,0.12834,-0.78014,-0.027324
1,0.00706,0.73287,0.028996,-0.17058,0.48145,0.029514,-0.37589,0.58377,0.052466,0.17935,0.48327,0.025686,0.36723,0.64062,0.057619,-0.41225,0.7855,-0.000789,0.39113,0.84828,0.038002,-0.068556,-0.001666,-0.032036,0.075793,-0.00563,-0.034567,-0.11834,-0.38707,-0.04056,0.11795,-0.43897,-0.010855,-0.11705,-0.76503,-0.027077,0.12784,-0.78134,-0.027183
2,0.007277,0.73287,0.029018,-0.17,0.48111,0.029391,-0.3746,0.58251,0.05173,0.17938,0.48323,0.025774,0.36724,0.64064,0.057451,-0.41168,0.784,-0.002058,0.39394,0.84786,0.035568,-0.068276,-0.001814,-0.031611,0.07601,-0.005733,-0.034503,-0.11832,-0.38716,-0.040542,0.11792,-0.43902,-0.010717,-0.11695,-0.765,-0.026868,0.12747,-0.78048,-0.026599
3,0.007771,0.73245,0.029849,-0.16959,0.48092,0.029387,-0.37461,0.58233,0.05161,0.17948,0.48324,0.025947,0.36724,0.64067,0.057381,-0.41143,0.78367,-0.003158,0.39349,0.84789,0.034446,-0.068216,-0.001911,-0.031466,0.076161,-0.005864,-0.034274,-0.11827,-0.3874,-0.040638,0.11792,-0.43894,-0.010612,-0.11684,-0.76519,-0.027071,0.12813,-0.78043,-0.027349
4,0.008303,0.73252,0.030402,-0.16299,0.47659,0.028411,-0.37463,0.58212,0.051496,0.1796,0.48324,0.026116,0.36724,0.64069,0.057385,-0.41098,0.78312,-0.00527,0.40145,0.84662,0.032372,-0.068119,-0.002089,-0.031478,0.076349,-0.00612,-0.034328,-0.11824,-0.38761,-0.040916,0.11784,-0.43923,-0.010381,-0.11674,-0.76575,-0.026962,0.12856,-0.78102,-0.028039
5,0.009491,0.73306,0.031958,-0.1633,0.47691,0.028322,-0.37463,0.5818,0.050758,0.17981,0.48322,0.026409,0.3672,0.64076,0.057433,-0.41051,0.78248,-0.007778,0.39824,0.84714,0.031482,-0.068034,-0.002164,-0.031457,0.076539,-0.006296,-0.034081,-0.1182,-0.38765,-0.041355,0.11739,-0.4415,-0.009732,-0.11688,-0.76609,-0.027394,0.12818,-0.78223,-0.02731
6,0.010053,0.73337,0.032639,-0.16346,0.47711,0.028316,-0.3745,0.58133,0.049793,0.17996,0.48325,0.026642,0.3879,0.60959,0.057711,-0.4104,0.78212,-0.008262,0.39185,0.8186,0.033948,-0.06791,-0.002114,-0.031537,0.076657,-0.006311,-0.034033,-0.11795,-0.38686,-0.041887,0.1173,-0.44115,-0.009653,-0.11681,-0.7654,-0.027437,0.12792,-0.78236,-0.029966
7,0.010605,0.73351,0.032827,-0.16377,0.4777,0.028163,-0.37205,0.57922,0.047638,0.18034,0.48323,0.02681,0.38155,0.61764,0.057849,-0.41258,0.77887,-0.011206,0.39501,0.82574,0.032225,-0.067802,-0.001848,-0.031821,0.0766,-0.006245,-0.034272,-0.11836,-0.38899,-0.041586,0.11694,-0.44094,-0.009941,-0.11747,-0.76592,-0.027197,0.12705,-0.78128,-0.027909
8,0.011151,0.73369,0.033366,-0.16275,0.47728,0.027863,-0.37161,0.57856,0.046677,0.18053,0.48324,0.026991,0.38399,0.6137,0.05789,-0.41272,0.77793,-0.012817,0.39514,0.82194,0.031767,-0.067709,-0.001859,-0.031814,0.076689,-0.006312,-0.034266,-0.1184,-0.38955,-0.041647,0.11674,-0.44128,-0.009837,-0.11754,-0.76591,-0.027151,0.1268,-0.7814,-0.027902
9,0.01163,0.73396,0.033847,-0.16256,0.47728,0.027737,-0.3712,0.57793,0.045722,0.18072,0.48324,0.027153,0.38649,0.60968,0.057879,-0.4129,0.77705,-0.014221,0.39526,0.81818,0.031339,-0.06762,-0.001859,-0.031823,0.076778,-0.006351,-0.034261,-0.11844,-0.39,-0.04165,0.11652,-0.44151,-0.009761,-0.11768,-0.76598,-0.027138,0.12659,-0.78144,-0.027909
